Client_ID,Age,Gender,Marital_Status,Education,Employment_Status,Annual_Income,Loan_Amount,Loan_Term_Months,Credit_Score,Number_of_Dependents,Housing_Status,Default_History,Current_Loan_Status,Previous_Loans,Overdue_Amount,Late_Payments,Bank_Balance,Default_Risk
C100000,56,Male,Married,PhD,Employed,161006,202623,60,315,2,Rent,0,Closed,1,54800,0,109952,Low
C100001,69,Female,Single,Other,Self-Employed,77558,244901,240,372,1,Mortgage,0,Rejected,9,75970,3,418929,Low
C100002,46,Female,Single,Bachelors,Self-Employed,79223,160561,36,501,4,Own,0,Rejected,1,31269,10,168212,Medium
C100003,32,Male,Divorced,Masters,Retired,61556,195470,60,392,1,Rent,0,Closed,0,97564,14,250317,Low
C100004,60,Male,Married,Other,Employed,160981,127352,180,332,1,Rent,0,Ongoing,2,71198,14,39533,Low
C100005,25,Female,Widowed,Masters,Unemployed,111467,369411,180,718,0,Own,0,Approved,0,93666,2,146503,Low
C100006,38,Female,Single,PhD,Self-Employed,130719,190542,60,502,1,Own,0,Approved,7,99258,18,342006,Low
C100007,56,Female,Divorced,Bachelors,Unemployed,111404,344546,120,611,3,Own,0,Closed,7,85861,19,298392,Low
C100008,36,Female,Married,Other,Unemployed,63558,115551,36,768,2,Mortgage,0,Approved,3,95412,13,448496,Low
C100009,40,Female,Single,PhD,Self-Employed,179085,368154,120,693,2,Own,0,Closed,0,46873,2,445969,High
C100010,28,Female,Married,High School,Retired,123018,85808,180,510,0,Mortgage,0,Ongoing,1,86668,7,243726,Low
C100011,28,Female,Married,PhD,Self-Employed,173947,125823,120,455,3,Own,1,Ongoing,1,72948,9,368681,Low
C100012,41,Male,Single,Masters,Employed,31408,430377,240,621,3,Mortgage,0,Approved,1,45330,8,279567,Medium
C100013,53,Female,Single,Bachelors,Employed,55607,125469,24,734,2,Own,1,Closed,8,83167,14,492166,Low
C100014,57,Female,Single,Bachelors,Self-Employed,81684,203707,24,339,3,Mortgage,0,Closed,6,45594,8,393822,Low
C100015,41,Male,Married,PhD,Unemployed,187353,339066,120,339,4,Rent,0,Closed,8,9465,3,272476,High
C100016,20,Female,Married,High School,Employed,47326,338018,120,752,1,Mortgage,0,Closed,9,72422,11,257924,Low
C100017,39,Female,Divorced,Masters,Employed,33601,384397,240,489,1,Mortgage,0,Approved,9,98316,18,468881,Low
C100018,19,Male,Widowed,PhD,Self-Employed,144594,327505,60,314,2,Rent,0,Rejected,1,56627,0,293965,Low
C100019,41,Female,Married,PhD,Self-Employed,21135,78836,120,423,2,Own,0,Approved,4,4705,13,227166,High
C100020,61,Male,Widowed,Bachelors,Retired,173813,196838,12,579,3,Rent,0,Closed,0,51391,9,333297,Medium
C100021,47,Male,Single,Masters,Self-Employed,31913,157472,36,347,0,Rent,0,Rejected,1,33465,0,25233,Medium
C100022,55,Male,Married,High School,Self-Employed,30101,291785,12,488,2,Rent,0,Rejected,3,2066,3,491327,High
C100023,19,Male,Divorced,Bachelors,Employed,169703,188305,24,603,2,Mortgage,1,Approved,9,37442,9,252398,Low
